,percMovements
0,0.002859397
1,0.002270932
2,0.0017720020000000004
3,0.002752113
4,0.002164076
5,0.003330395
6,0.00127501
7,0.001367989
8,0.000674894
9,0.000289157
10,0.0005779790000000001
11,0.000481788
12,0.000577645
13,0.000289491
14,0.000579766
15,0.000289352
16,0.000287604
17,0.001306458
18,0.000932227
19,0.002642008
20,0.001990899
21,0.001897713
22,0.001231294
23,0.001445504
24,0.001929757
25,0.001925669
26,0.000284522
27,0.000473619
28,0.00028425200000000003
29,0.001139493
30,0.000282646
31,0.000376754
32,0.00018843
33,0.000753367
34,0.000375869
35,0.000188023
36,0.002249297
37,0.001588934
38,0.001117631
39,0.002609749
40,0.001769582
41,0.002507429
42,0.001111008
43,0.0008341830000000001
44,0.000926355
45,0.001202479
46,0.001753415
47,0.000653534
48,0.000943574
49,0.0016103060000000002
50,0.001888039
51,0.001024972
52,0.000465333
53,0.0009288500835965867
54,0.0005544261689150625
55,0.0004612546125460992
56,0.0002768549280175981
57,0.0004618510992057211
58,0.0018484288354897284
59,9.183579759394909e-05
60,0.0012875931205739038
61,0.0004598969830756342
62,0.00220588235294126
63,0.0006352663581086594
64,0.0006331403762660906
65,0.0004521613311629333
66,0.0009936766034328245
67,0.00036140224069407717
68,0.00027075812274369255
69,0.00036117381489847634
70,0.0005409791723017587
71,0.00036023054755036064
72,0.00027031897639215297
73,0.00017990465053518054
74,0.00153070412389688
75,0.0007251631617114985
76,0.0010854816824965208
77,0.00036218761318355713
78,9.074410163344024e-05
79,0.0010912066927346818
80,0.0004552490212144491
81,0.0018947938283860161
82,0.0010814708002884334
83,0.0009926901904160222
84,0.00027171451861258354
85,0.000820494119792043
86,0.001371993048568476
87,0.0006397367940048197
88,0.0013771575468231481
89,0.0005462490895848714
90,0.0006367109332362488
91,0.0005452562704471309
92,0.0006360745115853226
93,0.0009065361254649348
94,0.005583472920156284
95,0.008229311141932505
96,0.0029778522240835807
97,0.007768426893553823
98,0.004309940972547624
99,0.002526433985215645
100,0.003472222222222265
101,0.00454588502699123
102,0.004054308881764969
103,0.002857669616519327
104,0.00202373286726138
105,0.001561351947097738
106,0.0010974940552407057
107,0.0010973936899861944
108,0.0017319963536919958
109,0.001180637544274125
110,0.0012770227127612405
111,0.00192864030858258
112,0.005853658536585241
113,0.0019588638589621084
114,0.001992031872509918
115,0.004955401387512283
116,0.0012527964205816607
117,0.00044871219599733407
118,0.0024650780608053524
119,0.00248321530396378
120,0.0021877848678214136
